Model,MSO54
Channel,CH1
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,62500
Zero Index,31249.53125000
Vertical Units,V
,
ANALOG_Thumbnail,

TIME,CH1
-4.93640500e-06,0.00000000e+00
-4.93624500e-06,-8.00000000e-04
-4.93608500e-06,0.00000000e+00
-4.93592500e-06,0.00000000e+00
-4.93576500e-06,0.00000000e+00
-4.93560500e-06,0.00000000e+00
-4.93544500e-06,0.00000000e+00
-4.93528500e-06,0.00000000e+00
-4.93512500e-06,0.00000000e+00
-4.93496500e-06,0.00000000e+00
-4.93480500e-06,0.00000000e+00
-4.93464500e-06,0.00000000e+00
-4.93448500e-06,0.00000000e+00
-4.93432500e-06,0.00000000e+00
-4.93416500e-06,-8.00000000e-04
-4.93400500e-06,-8.00000000e-04
-4.93384500e-06,-8.00000000e-04
-4.93368500e-06,0.00000000e+00
-4.93352500e-06,0.00000000e+00
-4.93336500e-06,0.00000000e+00
-4.93320500e-06,0.00000000e+00
-4.93304500e-06,-8.00000000e-04
-4.93288500e-06,-8.00000000e-04
-4.93272500e-06,-8.00000000e-04
-4.93256500e-06,-8.00000000e-04
-4.93240500e-06,0.00000000e+00
-4.93224500e-06,0.00000000e+00
-4.93208500e-06,0.00000000e+00
-4.93192500e-06,0.00000000e+00
-4.93176500e-06,0.00000000e+00
-4.93160500e-06,0.00000000e+00
-4.93144500e-06,0.00000000e+00
-4.93128500e-06,0.00000000e+00
-4.93112500e-06,0.00000000e+00
-4.93096500e-06,0.00000000e+00
-4.93080500e-06,0.00000000e+00
-4.93064500e-06,0.00000000e+00
-4.93048500e-06,0.00000000e+00
-4.93032500e-06,0.00000000e+00
-4.93016500e-06,0.00000000e+00
-4.93000500e-06,0.00000000e+00
-4.92984500e-06,0.00000000e+00
-4.92968500e-06,-8.00000000e-04
-4.92952500e-06,0.00000000e+00
-4.92936500e-06,0.00000000e+00
-4.92920500e-06,0.00000000e+00
-4.92904500e-06,0.00000000e+00
-4.92888500e-06,0.00000000e+00
-4.92872500e-06,0.00000000e+00
-4.92856500e-06,0.00000000e+00
-4.92840500e-06,0.00000000e+00
-4.92824500e-06,0.00000000e+00
-4.92808500e-06,0.00000000e+00
-4.92792500e-06,0.00000000e+00
-4.92776500e-06,0.00000000e+00
-4.92760500e-06,0.00000000e+00
-4.92744500e-06,0.00000000e+00
-4.92728500e-06,0.00000000e+00
-4.92712500e-06,0.00000000e+00
-4.92696500e-06,0.00000000e+00
-4.92680500e-06,0.00000000e+00
-4.92664500e-06,0.00000000e+00
